time,level,message
"2025-10-17 11:03:23,253",INFO,"Epoch 58 | Val Loss: 0.0764 | Val IoU: 0.8202 (73/89)
"
"2025-10-17 11:03:23,254",INFO,"IoU未提升（当前:0.8202 最佳:0.8989），模型不保存
"
"2025-10-17 11:03:23,254",INFO,"Epoch 58 finished in 12.0s
"
"2025-10-17 11:03:33,823",INFO,"Epoch 59 | Train Loss: 0.0712
"
"2025-10-17 11:03:35,322",INFO,"Epoch 59 | Val Loss: 0.0780 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:03:35,322",INFO,"IoU未提升（当前:0.8539 最佳:0.8989），模型不保存
"
"2025-10-17 11:03:35,322",INFO,"Epoch 59 finished in 12.1s
"
"2025-10-17 11:03:45,829",INFO,"Epoch 60 | Train Loss: 0.0705
"
"2025-10-17 11:03:47,305",INFO,"Epoch 60 | Val Loss: 0.0657 | Val IoU: 0.8764 (78/89)
"
"2025-10-17 11:03:47,305",INFO,"IoU未提升（当前:0.8764 最佳:0.8989），模型不保存
"
"2025-10-17 11:03:47,305",INFO,"Epoch 60 finished in 12.0s
"
"2025-10-17 11:03:57,806",INFO,"Epoch 61 | Train Loss: 0.0686
"
"2025-10-17 11:03:59,274",INFO,"Epoch 61 | Val Loss: 0.0669 | Val IoU: 0.9101 (81/89)
"
"2025-10-17 11:03:59,281",INFO,"New best IoU: 0.9101 -> saved to ./checkpoints/20251017/best_iou_0.9101.pth
"
"2025-10-17 11:03:59,281",INFO,"Epoch 61 finished in 12.0s
"
"2025-10-17 11:04:09,922",INFO,"Epoch 62 | Train Loss: 0.0710
"
"2025-10-17 11:04:11,385",INFO,"Epoch 62 | Val Loss: 0.0718 | Val IoU: 0.8764 (78/89)
"
"2025-10-17 11:04:11,385",INFO,"IoU未提升（当前:0.8764 最佳:0.9101），模型不保存
"
"2025-10-17 11:04:11,385",INFO,"Epoch 62 finished in 12.1s
"
"2025-10-17 11:04:22,050",INFO,"Epoch 63 | Train Loss: 0.0700
"
"2025-10-17 11:04:23,542",INFO,"Epoch 63 | Val Loss: 0.0742 | Val IoU: 0.9326 (83/89)
"
"2025-10-17 11:04:23,549",INFO,"New best IoU: 0.9326 -> saved to ./checkpoints/20251017/best_iou_0.9326.pth
"
"2025-10-17 11:04:23,550",INFO,"Epoch 63 finished in 12.2s
"
"2025-10-17 11:04:34,131",INFO,"Epoch 64 | Train Loss: 0.0688
"
"2025-10-17 11:04:35,650",INFO,"Epoch 64 | Val Loss: 0.0735 | Val IoU: 0.9213 (82/89)
"
"2025-10-17 11:04:35,650",INFO,"IoU未提升（当前:0.9213 最佳:0.9326），模型不保存
"
"2025-10-17 11:04:35,650",INFO,"Epoch 64 finished in 12.1s
"
"2025-10-17 11:04:46,131",INFO,"Epoch 65 | Train Loss: 0.0725
"
"2025-10-17 11:04:47,591",INFO,"Epoch 65 | Val Loss: 0.0745 | Val IoU: 0.8652 (77/89)
"
"2025-10-17 11:04:47,591",INFO,"IoU未提升（当前:0.8652 最佳:0.9326），模型不保存
"
"2025-10-17 11:04:47,591",INFO,"Epoch 65 finished in 11.9s
"
"2025-10-17 11:04:58,193",INFO,"Epoch 66 | Train Loss: 0.0721
"
"2025-10-17 11:04:59,656",INFO,"Epoch 66 | Val Loss: 0.0675 | Val IoU: 0.8315 (74/89)
"
"2025-10-17 11:04:59,656",INFO,"IoU未提升（当前:0.8315 最佳:0.9326），模型不保存
"
"2025-10-17 11:04:59,656",INFO,"Epoch 66 finished in 12.1s
"
"2025-10-17 11:05:10,317",INFO,"Epoch 67 | Train Loss: 0.0681
"
"2025-10-17 11:05:11,805",INFO,"Epoch 67 | Val Loss: 0.0642 | Val IoU: 0.8989 (80/89)
"
"2025-10-17 11:05:11,805",INFO,"IoU未提升（当前:0.8989 最佳:0.9326），模型不保存
"
"2025-10-17 11:05:11,805",INFO,"Epoch 67 finished in 12.1s
"
"2025-10-17 11:05:22,404",INFO,"Epoch 68 | Train Loss: 0.0678
"
"2025-10-17 11:05:23,839",INFO,"Epoch 68 | Val Loss: 0.0708 | Val IoU: 0.8427 (75/89)
"
"2025-10-17 11:05:23,840",INFO,"IoU未提升（当前:0.8427 最佳:0.9326），模型不保存
"
"2025-10-17 11:05:23,840",INFO,"Epoch 68 finished in 12.0s
"
"2025-10-17 11:05:34,392",INFO,"Epoch 69 | Train Loss: 0.0710
"
"2025-10-17 11:05:35,846",INFO,"Epoch 69 | Val Loss: 0.0743 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:05:35,846",INFO,"IoU未提升（当前:0.8539 最佳:0.9326），模型不保存
"
"2025-10-17 11:05:35,846",INFO,"Epoch 69 finished in 12.0s
"
"2025-10-17 11:05:46,366",INFO,"Epoch 70 | Train Loss: 0.0699
"
"2025-10-17 11:05:47,837",INFO,"Epoch 70 | Val Loss: 0.0694 | Val IoU: 0.8989 (80/89)
"
"2025-10-17 11:05:47,837",INFO,"IoU未提升（当前:0.8989 最佳:0.9326），模型不保存
"
